,Token,Label
51720,6,I-PRODUCT
51721,7,I-PRODUCT
51722,8,I-PRODUCT
51723,9,I-PRODUCT
51724,Year,I-PRODUCT
51725,Old,I-PRODUCT
51726,Girls,I-PRODUCT
51727,&,I-PRODUCT
51728,Boys,I-PRODUCT
51729,&,I-PRODUCT
51730,Teens,I-PRODUCT
51731,-Dark,I-PRODUCT
51732,(Blue),I-PRODUCT
51733,800,I-PRICE
51734,birr,I-PRICE
51735,0909003864,I-PHONE
51736,0905707448,I-PHONE
51737,እቃ,O
51738,ለማዘዝ,O
51739,ከስር,O
51740,ያለውን,O
51741,ሊንኮች,O
51742,በመጫን,O
51743,ማዘዝ,O
51744,ትችላላቹ,O
51745,@sinasinaye,O
51746,@sinayalj2,O
51747,አድራሻ,O
51748,1⃣ቁጥር1,O
51749,ገርጂ,I-LOC
51750,ኢምፔሪያል,I-LOC
51751,ከሳሚ,O
51752,ህንፃ,I-LOC
51753,ጎን,O
51754,አልፎዝ,O
51755,ፕላዛ,I-LOC
51756,ግራውንድ,O
51757,ላይ,O
51758,እንደገቡ,O
51759,ያገኙናል,O
51760,2⃣ቁጥር2,O
51761,4ኪሎ,I-LOC
51762,ቅድስት,O
51763,ስላሴ,I-LOC
51764,ህንፃ,I-LOC
51765,ማለትም,O
51766,ከብልፅግና,O
51767,ዋናፅፈት,O
51768,ቤት,O
51769,ህንፃ,I-LOC
51770,በስተ,O
51771,ቀኝ,O
51772,ባለው,O
51773,አስፓልት,O
51774,20ሜትር,O
51775,ዝቅ,O
51776,እንዳሉ,O
51777,ሀበሻ,O
51778,ኮፊ,O
51779,የሚገኝበት,O
51780,ቀይ,O
51781,ሸክላ,O
51782,ህንፃ,I-LOC
51783,2ተኛ,O
51784,ፎቅ,I-LOC
51785,ላይ,O
51786,ያገኙናል,O
51787,3⃣ቁጥር3,O
51788,ብስራተ,I-LOC
51789,ገብርኤል,I-PRICE
51790,ላፍቶ,I-LOC
51791,ሞል,I-LOC
51792,መግቢያው,O
51793,ፊት,O
51794,ለፊት,O
51795,የሚገኘው,O
51796,የብስራተ,I-LOC
51797,ገብርኤል,I-PRICE
51798,ቤተ,O
51799,ክርስቲያን,O
51800,ህንፃ,I-LOC
51801,አንደኛ,O
51802,ፎቅ,I-LOC
51803,ላይ,O
51804,ደረጃ,O
51805,እንደወጣቹ,O
51806,በስተግራ,O
51807,በኩል,O
51808,ሱቅ,O
51809,ቁጥር,O
51810,FF-09,O
51811,ክቡራን,O
51812,ደምበኞቻችን,O
51813,ገርጂ,I-LOC
51814,አልፎዝ,O
51815,ፕላዛ,I-LOC
51816,ላይ,O
51817,አራት,O
51818,ኪሎ,O
51819,ቅድስት,O
51820,ስላሴ,I-LOC
51821,እንዲሁም,O
51822,ብስራተ,I-LOC
51823,ገብሬል,O
51824,ያሉት,O
51825,ሱቆቻችን,O
51826,ሲመጡ,O
51827,አስተማማኝ,O
51828,ሰፊ,O
51829,ፓርኪንግ,O
51830,ያላቸው,O
51831,መሆናቸውን,O
51832,በታላቅ,O
51833,ደስታ,O
51834,እናበስራለን,O
51835,ማንገቻ,B-PRODUCT
51836,እና,I-PRODUCT
51837,ከረባት,I-PRODUCT
51838,650,I-PRODUCT
51839,ብር,I-PRODUCT
51840,0909003864,I-PRODUCT
51841,0905707448,I-PHONE
51842,እቃ,O
51843,ለማዘዝ,O
51844,ከስር,O
51845,ያለውን,O
51846,ሊንኮች,O
51847,በመጫን,O
51848,ማዘዝ,O
51849,ትችላላቹ,O
51850,@sinasinaye,O
51851,@sinayalj2,O
51852,አድራሻ,O
51853,1⃣ቁጥር1,O
51854,ገርጂ,I-LOC
51855,ኢምፔሪያል,I-LOC
51856,ከሳሚ,O
51857,ህንፃ,I-LOC
51858,ጎን,O
51859,አልፎዝ,O
51860,ፕላዛ,I-LOC
51861,ግራውንድ,O
51862,ላይ,O
51863,እንደገቡ,O
51864,ያገኙናል,O
51865,2⃣ቁጥር2,O
51866,4ኪሎ,I-LOC
51867,ቅድስት,O
51868,ስላሴ,I-LOC
51869,ህንፃ,I-LOC
51870,ማለትም,O
51871,ከብልፅግና,O
51872,ዋናፅፈት,O
51873,ቤት,O
51874,ህንፃ,I-LOC
51875,በስተ,O
51876,ቀኝ,O
51877,ባለው,O
51878,አስፓልት,O
51879,20ሜትር,O
51880,ዝቅ,O
51881,እንዳሉ,O
51882,ሀበሻ,O
51883,ኮፊ,O
51884,የሚገኝበት,O
51885,ቀይ,O
51886,ሸክላ,O
51887,ህንፃ,I-LOC
51888,2ተኛ,O
51889,ፎቅ,I-LOC
51890,ላይ,O
51891,ያገኙናል,O
51892,3⃣ቁጥር3,O
51893,ብስራተ,I-LOC
51894,ገብርኤል,I-PRICE
51895,ላፍቶ,I-LOC
51896,ሞል,I-LOC
51897,መግቢያው,O
51898,ፊት,O
51899,ለፊት,O
51900,የሚገኘው,O
51901,የብስራተ,I-LOC
51902,ገብርኤል,I-PRICE
51903,ቤተ,O
51904,ክርስቲያን,O
51905,ህንፃ,I-LOC
51906,አንደኛ,O
51907,ፎቅ,I-LOC
51908,ላይ,O
51909,ደረጃ,O
51910,እንደወጣቹ,O
51911,በስተግራ,O
51912,በኩል,O
51913,ሱቅ,O
51914,ቁጥር,O
51915,FF-09,O
51916,ክቡራን,O
51917,ደምበኞቻችን,O
51918,ገርጂ,I-LOC
51919,አልፎዝ,O
51920,ፕላዛ,I-LOC
51921,ላይ,O
51922,አራት,O
51923,ኪሎ,O
51924,ቅድስት,O
51925,ስላሴ,I-LOC
51926,እንዲሁም,O
51927,ብስራተ,I-LOC
51928,ገብሬል,O
51929,ያሉት,O
51930,ሱቆቻችን,O
51931,ሲመጡ,O
51932,አስተማማኝ,O
51933,ሰፊ,O
51934,ፓርኪንግ,O
51935,ያላቸው,O
51936,መሆናቸውን,O
51937,በታላቅ,O
51938,ደስታ,O
51939,እናበስራለን,O
51940,ክቡራን,B-PRODUCT
51941,ደምበኞቻችን,I-PRODUCT
51942,ቁጥር3,I-PRODUCT
51943,ብራንቻችንን,I-PRODUCT
51944,ብስራተ,I-PRODUCT
51945,ገብርኤል,I-PRODUCT
51946,ላፍቶ,I-PRODUCT
51947,ሞል,I-PRODUCT
51948,መግቢያው,I-PRODUCT
51949,ፊት,I-PRODUCT
51950,ለፊት,I-PRODUCT
51951,የሚገኘው,I-PRODUCT
51952,የብስራተ,I-PRODUCT
51953,ገብርኤል,I-PRODUCT
51954,ቤተ,I-PRODUCT
51955,ክርስቲያን,I-PRODUCT
51956,ህንፃ,I-PRODUCT
51957,አንደኛ,I-PRODUCT
51958,ፎቅ,I-PRODUCT
51959,ላይ,I-PRODUCT
51960,ደረጃ,I-PRODUCT
51961,እንደወጣቹ,I-PRODUCT
51962,በስተግራ,I-PRODUCT
51963,በኩል,I-PRODUCT
51964,ሱቅ,I-PRODUCT
51965,ቁጥር,I-PRODUCT
51966,FF-09,I-PRODUCT
51967,ተከፍቶ,I-PRODUCT
51968,ስራ,I-PRODUCT
51969,መጀመራችንን,I-PRODUCT
51970,ስናበስር,I-PRODUCT
51971,በታላቅ,I-PRODUCT
51972,አክብሮት,I-PRODUCT
51973,ነው,I-PRODUCT
51974,3,B-PRODUCT
51975,in,I-PRODUCT
51976,1,I-PRODUCT
51977,Bellababy,I-PRODUCT
51978,baby,I-PRODUCT
51979,walker,I-PRODUCT
51980,እግራቸውን,O
51981,እንዳይቀዘቅዛቸው,O
51982,ከስር,O
51983,የሚወጠር,O
51984,ምንጣፍ,O
51985,ያለው,O
51986,ከጄሪሎ,O
51987,ከፍ,O
51988,ሲሉ,O
51989,ይዘውት,O
51990,ዎክ,O
51991,የሚያረጉበት,O
51992,ከፊት,O
51993,ያለው,O
51994,መጫዎቻ,O
51995,ተነስቶ,O
51996,መመገቢያ,O
51997,የሚሆን,O
51998,የሚያሜር,O
51999,ላይት,O
52000,ያለው,O
52001,9200,I-PRICE
52002,0909003864,I-PHONE
52003,0905707448,I-PHONE
52004,እቃ,O
52005,ለማዘዝ,O
52006,ከስር,O
52007,ያለውን,O
52008,ሊንኮች,O
52009,በመጫን,O
52010,ማዘዝ,O
52011,ትችላላቹ,O
52012,@sinasinaye,O
52013,@sinayalj2,O
52014,አድራሻ,O
52015,1⃣ቁጥር1,O
52016,ገርጂ,I-LOC
52017,ኢምፔሪያል,I-LOC
52018,ከሳሚ,O
52019,ህንፃ,I-LOC
52020,ጎን,O
52021,አልፎዝ,O
52022,ፕላዛ,I-LOC
52023,ግራውንድ,O
52024,ላይ,O
52025,እንደገቡ,O
52026,ያገኙናል,O
52027,2⃣ቁጥር2,O
52028,4ኪሎ,I-LOC
52029,ቅድስት,O
52030,ስላሴ,I-LOC
52031,ህንፃ,I-LOC
52032,ማለትም,O
52033,ከብልፅግና,O
52034,ዋናፅፈት,O
52035,ቤት,O
52036,ህንፃ,I-LOC
52037,በስተ,O
52038,ቀኝ,O
52039,ባለው,O
52040,አስፓልት,O
52041,20ሜትር,O
52042,ዝቅ,O
52043,እንዳሉ,O
52044,ሀበሻ,O
52045,ኮፊ,O
52046,የሚገኝበት,O
52047,ቀይ,O
52048,ሸክላ,O
52049,ህንፃ,I-LOC
52050,2ተኛ,O
52051,ፎቅ,I-LOC
52052,ላይ,O
52053,ያገኙናል,O
52054,3⃣ቁጥር3,O
52055,ብስራተ,I-LOC
52056,ገብርኤል,I-PRICE
52057,ላፍቶ,I-LOC
52058,ሞል,I-LOC
52059,መግቢያው,O
52060,ፊት,O
52061,ለፊት,O
52062,የሚገኘው,O
52063,የብስራተ,I-LOC
52064,ገብርኤል,I-PRICE
52065,ቤተ,O
52066,ክርስቲያን,O
52067,ህንፃ,I-LOC
52068,አንደኛ,O
52069,ፎቅ,I-LOC
52070,ላይ,O
52071,ደረጃ,O
52072,እንደወጣቹ,O
52073,በስተግራ,O
52074,በኩል,O
52075,ሱቅ,O
52076,ቁጥር,O
52077,FF-09,O
52078,ክቡራን,O
52079,ደምበኞቻችን,O
52080,ገርጂ,I-LOC
52081,አልፎዝ,O
52082,ፕላዛ,I-LOC
52083,ላይ,O
52084,እንዲሁም,O
52085,አራት,O
52086,ኪሎ,O
52087,ቅድስት,O
52088,ስላሴ,I-LOC
52089,in,O
52090,ህንፃ,I-LOC
52091,ላይ,O
52092,ያሉት,O
52093,ብራንቾቻችን,O
52094,ላይ,O
52095,እቃ,O
52096,ለመግዛት,O
52097,ሲመጡ,O
52098,አስተማማኝ,O
52099,ሰፊ,O
52100,ፓርኪንግ,O
52101,ያለው,O
52102,ጊቢ,O
52103,ያላቸው,O
52104,ህንፃዎች,I-LOC
52105,መሆናቸውን,O
52106,በታላቅ,O
52107,ደስታ,O
52108,እናበስራለን,O
52109,የልጆችን,B-PRODUCT
52110,ቀልብ,I-PRODUCT
52111,የሚገዛ,I-PRODUCT
52112,ውብ,I-PRODUCT
52113,ፖፖ,I-PRODUCT
52114,ምቹ,O
52115,የሆነ,O
52116,መነሳት,O
52117,የሚችል,O
52118,ስፖንጅ,O
52119,የሆነ,O
52120,መቀመጫ,O
52121,ያለው,O
52122,2300,I-PRICE
52123,ብር,I-PRICE
52124,0909003864,I-PHONE
52125,0905707448,I-PHONE
52126,እቃ,O
52127,ለማዘዝ,O
52128,ከስር,O
52129,ያለውን,O
52130,ሊንኮች,O
52131,በመጫን,O
52132,ማዘዝ,O
52133,ትችላላቹ,O
52134,@sinasinaye,O
52135,@sinayalj2,O
52136,አድራሻ,O
52137,1⃣ቁጥር1,O
52138,ገርጂ,I-LOC
52139,ኢምፔሪያል,I-LOC
52140,ከሳሚ,O
52141,ህንፃ,I-LOC
52142,ጎን,O
52143,አልፎዝ,O
52144,ፕላዛ,I-LOC
52145,ግራውንድ,O
52146,ላይ,O
52147,እንደገቡ,O
52148,ያገኙናል,O
52149,2⃣ቁጥር2,O
52150,4ኪሎ,I-LOC
52151,ቅድስት,O
52152,ስላሴ,I-LOC
52153,ህንፃ,I-LOC
52154,ማለትም,O
52155,ከብልፅግና,O
52156,ዋናፅፈት,O
52157,ቤት,O
52158,ህንፃ,I-LOC
52159,በስተ,O
52160,ቀኝ,O
52161,ባለው,O
52162,አስፓልት,O
52163,20ሜትር,O
52164,ዝቅ,O
52165,እንዳሉ,O
52166,ሀበሻ,O
52167,ኮፊ,O
52168,የሚገኝበት,O
52169,ቀይ,O
52170,ሸክላ,O
52171,ህንፃ,I-LOC
52172,2ተኛ,O
52173,ፎቅ,I-LOC
52174,ላይ,O
52175,ያገኙናል,O
52176,3⃣ቁጥር3,O
52177,ብስራተ,I-LOC
52178,ገብርኤል,I-PRICE
52179,ላፍቶ,I-LOC
52180,ሞል,I-LOC
52181,መግቢያው,O
52182,ፊት,O
52183,ለፊት,O
52184,የሚገኘው,O
52185,የብስራተ,I-LOC
52186,ገብርኤል,I-PRICE
52187,ቤተ,O
52188,ክርስቲያን,O
52189,ህንፃ,I-LOC
52190,አንደኛ,O
52191,ፎቅ,I-LOC
52192,ላይ,O
52193,ደረጃ,O
52194,እንደወጣቹ,O
52195,በስተግራ,O
52196,በኩል,O
52197,ሱቅ,O
52198,ቁጥር,O
52199,FF-09,O
52200,ክቡራን,O
52201,ደምበኞቻችን,O
52202,ገርጂ,I-LOC
52203,አልፎዝ,O
52204,ፕላዛ,I-LOC
52205,ላይ,O
52206,እንዲሁም,O
52207,አራት,O
52208,ኪሎ,O
52209,ቅድስት,O
52210,ስላሴ,I-LOC
52211,in,O
52212,ህንፃ,I-LOC
52213,ላይ,O
52214,ያሉት,O
52215,ብራንቾቻችን,O
52216,ላይ,O
52217,እቃ,O
52218,ለመግዛት,O
52219,ሲመጡ,O
52220,አስተማማኝ,O
52221,ሰፊ,O
52222,ፓርኪንግ,O
52223,ያለው,O
52224,ጊቢ,O
52225,ያላቸው,O
52226,ህንፃዎች,I-LOC
52227,መሆናቸውን,O
52228,በታላቅ,O
52229,ደስታ,O
52230,እናበስራለን,O
52231,ሰሀኑ,B-PRODUCT
52232,ከመመገቢያ,I-PRODUCT
52233,ቴብል,I-PRODUCT
52234,ጋር,I-PRODUCT
52235,የሚጣበቅ,I-PRODUCT
52236,1,I-PRODUCT
52237,ማንኪያ,I-PRODUCT
52238,አብሮ,I-PRODUCT
52239,ያለው,I-PRODUCT
52240,500,I-PRODUCT
52241,ብር,I-PRODUCT
52242,0909003864,I-PRODUCT
52243,0905707448,I-PHONE
52244,እቃ,O
52245,ለማዘዝ,O
52246,ከስር,O
52247,ያለውን,O
52248,ሊንኮች,O
52249,በመጫን,O
52250,ማዘዝ,O
52251,ትችላላቹ,O
52252,@sinasinaye,O
52253,@sinayalj2,O
52254,አድራሻ,O
52255,1⃣ቁጥር1,O
52256,ገርጂ,I-LOC
52257,ኢምፔሪያል,I-LOC
52258,ከሳሚ,O
52259,ህንፃ,I-LOC
52260,ጎን,O
52261,አልፎዝ,O
52262,ፕላዛ,I-LOC
52263,ግራውንድ,O
52264,ላይ,O
52265,እንደገቡ,O
52266,ያገኙናል,O
52267,2⃣ቁጥር2,O
52268,4ኪሎ,I-LOC
52269,ቅድስት,O
52270,ስላሴ,I-LOC
52271,ህንፃ,I-LOC
52272,ማለትም,O
52273,ከብልፅግና,O
52274,ዋናፅፈት,O
52275,ቤት,O
52276,ህንፃ,I-LOC
52277,በስተ,O
52278,ቀኝ,O
52279,ባለው,O
52280,አስፓልት,O
52281,20ሜትር,O
52282,ዝቅ,O
52283,እንዳሉ,O
52284,ሀበሻ,O
52285,ኮፊ,O
52286,የሚገኝበት,O
52287,ቀይ,O
52288,ሸክላ,O
52289,ህንፃ,I-LOC
52290,2ተኛ,O
52291,ፎቅ,I-LOC
52292,ላይ,O
52293,ያገኙናል,O
52294,3⃣ቁጥር3,O
52295,ብስራተ,I-LOC
52296,ገብርኤል,I-PRICE
52297,ላፍቶ,I-LOC
52298,ሞል,I-LOC
52299,መግቢያው,O
52300,ፊት,O
52301,ለፊት,O
52302,የሚገኘው,O
52303,የብስራተ,I-LOC
52304,ገብርኤል,I-PRICE
52305,ቤተ,O
52306,ክርስቲያን,O
52307,ህንፃ,I-LOC
52308,አንደኛ,O
52309,ፎቅ,I-LOC
52310,ላይ,O
52311,ደረጃ,O
52312,እንደወጣቹ,O
52313,በስተግራ,O
52314,በኩል,O
52315,ሱቅ,O
52316,ቁጥር,O
52317,FF-09,O
52318,ክቡራን,O
52319,ደምበኞቻችን,O
52320,ገርጂ,I-LOC
52321,አልፎዝ,O
52322,ፕላዛ,I-LOC
52323,ላይ,O
52324,እንዲሁም,O
52325,አራት,O
52326,ኪሎ,O
52327,ቅድስት,O
52328,ስላሴ,I-LOC
52329,in,O
52330,ህንፃ,I-LOC
52331,ላይ,O
52332,ያሉት,O
52333,ብራንቾቻችን,O
52334,ላይ,O
52335,እቃ,O
52336,ለመግዛት,O
52337,ሲመጡ,O
52338,አስተማማኝ,O
52339,ሰፊ,O
52340,ፓርኪንግ,O
52341,ያለው,O
52342,ጊቢ,O
52343,ያላቸው,O
52344,ህንፃዎች,I-LOC
52345,መሆናቸውን,O
52346,በታላቅ,O
52347,ደስታ,O
52348,እናበስራለን,O
52349,ነገ,B-PRODUCT
52350,ሙሉ,I-PRODUCT
52351,ቀን,I-PRODUCT
52352,ሱቆቻችን,I-PRODUCT
52353,ክፍት,I-PRODUCT
52354,መሆናቸው,I-PRODUCT
52355,በታላቅ,I-PRODUCT
52356,አክብሮት,I-PRODUCT
52357,እንገልፃለን,I-PRODUCT
52358,ክቡራን,B-PRODUCT
52359,ደምበኞቻችን,I-PRODUCT
52360,ቁጥር3,I-PRODUCT
52361,ብራንቻችንን,I-PRODUCT
52362,ብስራተ,I-PRODUCT
52363,ገብርኤል,I-PRODUCT
52364,ላፍቶ,I-PRODUCT
52365,ሞል,I-PRODUCT
52366,መግቢያው,I-PRODUCT
52367,ፊት,I-PRODUCT
52368,ለፊት,I-PRODUCT
52369,የሚገኘው,I-PRODUCT
52370,የብስራተ,I-PRODUCT
52371,ገብርኤል,I-PRODUCT
52372,ቤተ,I-PRODUCT
52373,ክርስቲያን,I-PRODUCT
52374,ህንፃ,I-PRODUCT
52375,አንደኛ,I-PRODUCT
52376,ፎቅ,I-PRODUCT
52377,ላይ,I-PRODUCT
52378,ደረጃ,I-PRODUCT
52379,እንደወጣቹ,I-PRODUCT
52380,በስተግራ,I-PRODUCT
52381,በኩል,I-PRODUCT
52382,ሱቅ,I-PRODUCT
52383,ቁጥር,I-PRODUCT
52384,FF-09,I-PRODUCT
52385,ተከፍቶ,I-PRODUCT
52386,ስራ,I-PRODUCT
52387,መጀመራችንን,I-PRODUCT
52388,ስናበስር,I-PRODUCT
52389,በታላቅ,I-PRODUCT
52390,አክብሮት,I-PRODUCT
52391,ነው,I-PRODUCT
52392,ክቡራን,B-PRODUCT
52393,ደምበኞቻችን,I-PRODUCT
52394,ቁጥር3,I-PRODUCT
52395,ብራንቻችንን,I-PRODUCT
52396,ብስራተ,I-PRODUCT
52397,ገብርኤል,I-PRODUCT
52398,ላፍቶ,I-PRODUCT
52399,ሞል,I-PRODUCT
52400,መግቢያው,I-PRODUCT
52401,ፊት,I-PRODUCT
52402,ለፊት,I-PRODUCT
52403,የሚገኘው,I-PRODUCT
52404,የብስራተ,I-PRODUCT
52405,ገብርኤል,I-PRODUCT
52406,ቤተ,I-PRODUCT
52407,ክርስቲያን,I-PRODUCT
52408,ህንፃ,I-PRODUCT
52409,አንደኛ,I-PRODUCT
52410,ፎቅ,I-PRODUCT
52411,ላይ,I-PRODUCT
52412,ደረጃ,I-PRODUCT
52413,እንደወጣቹ,I-PRODUCT
52414,በስተግራ,I-PRODUCT
52415,በኩል,I-PRODUCT
52416,ሱቅ,I-PRODUCT
52417,ቁጥር,I-PRODUCT
52418,FF-09,I-PRODUCT
52419,ተከፍቶ,I-PRODUCT
52420,ስራ,I-PRODUCT
52421,መጀመራችንን,I-PRODUCT
52422,ስናበስር,I-PRODUCT
52423,በታላቅ,I-PRODUCT
52424,አክብሮት,I-PRODUCT
52425,ነው,I-PRODUCT
52426,Only,B-PRODUCT
52427,baby,I-PRODUCT
52428,feeding,I-PRODUCT
52429,bottle,I-PRODUCT
52430,60,I-PRICE
52431,ml,O
52432,400,I-PRICE
52433,birr,I-PRICE
52434,0909003864,I-PHONE
52435,0905707448,I-PHONE
52436,አድራሻ,O
52437,ገርጂ,I-LOC
52438,ኢምፔሪያል,I-LOC
52439,ከሳሚ,O
52440,ህንፃ,I-LOC
52441,ጎን,O
52442,አልፎዝ,O
52443,ፕላዛ,I-LOC
52444,ግራውንድ,O
52445,ላይ,O
52446,እንደገቡ,O
52447,ያገኙናል,O
52448,ብዙ,B-PRODUCT
52449,አገልግሎቶችን,I-PRODUCT
52450,በአንድ,I-PRODUCT
52451,የያዘ,I-PRODUCT
52452,5,I-PRODUCT
52453,in,I-PRODUCT
52454,1,I-PRODUCT
52455,ጄሪሎ,I-PRODUCT
52456,1⃣,O
52457,ውስጡ,O
52458,ገብተው,O
52459,እየተጫወቱ,O
52460,እንዲራመዱ,O
52461,ይረዳቸዋል,O
52462,2⃣እንደ,O
52463,ፑሽ,O
52464,ካር,O
52465,እራሳችን,O
52466,እየገፍን,O
52467,እናጫውትበታለን,O
52468,3⃣እንደ,O
52469,ዎከር,O
52470,ልጁ,O
52471,ከፍ,O
52472,ብሎ,O
52473,እቃ,O
52474,እየያዘ,O
52475,ለመራመድ,O
52476,በሚጥርበት,O
52477,ጊዜም,O
52478,እየነዳው,O
52479,መራመድ,O
52480,ይችላል,O
52481,4⃣መጫዎቻው,O
52482,አሸንጉሊት,O
52483,ተነስቶም,O
52484,እንደ,O
52485,መመገቢያም,O
52486,ወንበርም,O
52487,መሆን,O
52488,ይችላል,O
52489,5⃣,O
52490,ህፃኑ,O
52491,እግሩን,O
52492,እንዳይቀዘቅዘው,O
52493,ከስር,O
52494,ጨርቅ,O
52495,ምንጣፍ,O
52496,ያለው,O
52497,8000ብር,I-PRICE
52498,Free,O
52499,delivery,O
52500,0905707448,I-PHONE
52501,0945097042,I-PHONE
52502,አድራሻ,O
52503,ቁጥር1,O
52504,ገርጂ,I-LOC
52505,ኢምፔሪያል,I-LOC
52506,ከሳሚ,O
52507,ህንፃ,I-LOC
52508,ጎን,O
52509,አልፎዝ,O
52510,ፕላዛ,I-LOC
52511,ግራውንድ,O
52512,ላይ,O
52513,እንደገቡ,O
52514,ያገኙናል,O
52515,ቁጥር2,O
52516,4ኪሎ,I-LOC
52517,ቅድስት,O
52518,ስላሴ,I-LOC
52519,ህንፃ,I-LOC
52520,ማለትም,O
52521,ከብልፅግና,O
52522,ዋናፅፈት,O
52523,ቤት,O
52524,ህንፃ,I-LOC
52525,በስተ,O
52526,ቀኝ,O
52527,ባለው,O
52528,አስፓልት,O
52529,20ሜትር,O
52530,ዝቅ,O
52531,እንዳሉ,O
52532,ሀበሻ,O
52533,ኮፊ,O
52534,የሚገኝበት,O
52535,ቀይ,O
52536,ሸክላ,O
52537,ህንፃ,I-LOC
52538,2ተኛ,O
52539,ፎቅ,I-LOC
52540,ላይ,O
52541,ያገኙናል,O
52542,ክቡራን,O
52543,ደምበኞቻችን,O
52544,ገርጂ,I-LOC
52545,አልፎዝ,O
52546,ፕላዛ,I-LOC
52547,ላይ,O
52548,እንዲሁም,O
52549,አራት,O
52550,ኪሎ,O
52551,ቅድስት,O
52552,ስላሴ,I-LOC
52553,ህንፃ,I-LOC
52554,ላይ,O
52555,ያሉት,O
52556,ብራንቾቻችን,O
52557,ላይ,O
52558,እቃ,O
52559,ለመግዛት,O
52560,ሲመጡ,O
52561,አስተማማኝ,O
52562,ሰፊ,O
52563,ፓርኪንግ,O
52564,ያለው,O
52565,ጊቢ,O
52566,ያላቸው,O
52567,ህንፃዎች,I-LOC
52568,መሆናቸውን,O
52569,በታላቅ,O
52570,ደስታ,O
52571,እናበስራለን,O
52572,Baby,B-PRODUCT
52573,Kid,I-PRODUCT
52574,Electric,I-PRODUCT
52575,Hair,I-PRODUCT
52576,Trimmer,I-PRODUCT
52577,High,O
52578,Quality,O
52579,Suitable,O
52580,For,O
52581,Kids,O
52582,Safe,O
52583,Ceramic,O
52584,Blade,O
52585,Water,O
52586,Proof,O
52587,USB,O
52588,charge,O
52589,Easy,O
52590,to,O
52591,use,O
52592,Cut,O
52593,your,O
52594,hair,O
52595,while,O
52596,"sucking,",O
52597,saving,O
52598,time,O
52599,and,O
52600,effort,O
52601,package,O
52602,included,O
52603,1,I-PRICE
52604,x,O
52605,Hair,O
52606,Clipper,O
52607,1,I-PRICE
52608,x,O
52609,Attachment,O
52610,comb,O
52611,(3-6mm),O
52612,1,I-PRICE
52613,x,O
52614,Attachment,O
52615,comb,O
52616,(9-12mm),O
52617,1,I-PRICE
52618,x,O
52619,Hair,O
52620,Cutting,O
52621,Cape,O
52622,1,I-PRICE
52623,x,O
52624,Soft,O
52625,Powder,O
52626,Puff,O
52627,1,I-PRICE
52628,x,O
52629,Cleaning,O
52630,Brush,O
52631,1,I-PRICE
52632,x,O
52633,USB,O
52634,Cable,O
52635,1,I-PRICE
52636,x,O
52637,Lubricant,O
52638,3400ብር,I-PRICE
52639,Free,O
52640,delivery,O
52641,0905707448,I-PHONE
52642,0945097042,I-PHONE
52643,We,O
52644,have,O
52645,only,O
52646,3pcs,O
52647,አድራሻ,O
52648,ቁጥር1,O
52649,ገርጂ,I-LOC
52650,ኢምፔሪያል,I-LOC
52651,ከሳሚ,O
52652,ህንፃ,I-LOC
52653,ጎን,O
52654,አልፎዝ,O
52655,ፕላዛ,I-LOC
52656,ግራውንድ,O
52657,ላይ,O
52658,እንደገቡ,O
52659,ያገኙናል,O
52660,ቁጥር2,O
52661,4ኪሎ,I-LOC
52662,ቅድስት,O
52663,ስላሴ,I-LOC
52664,ህንፃ,I-LOC
52665,ማለትም,O
52666,ከብልፅግና,O
52667,ዋናፅፈት,O
52668,ቤት,O
52669,ህንፃ,I-LOC
52670,በስተ,O
52671,ቀኝ,O
52672,ባለው,O
52673,አስፓልት,O
52674,20ሜትር,O
52675,ዝቅ,O
52676,እንዳሉ,O
52677,ሀበሻ,O
52678,ኮፊ,O
52679,የሚገኝበት,O
52680,ቀይ,O
52681,ሸክላ,O
52682,ህንፃ,I-LOC
52683,2ተኛ,O
52684,ፎቅ,I-LOC
52685,ላይ,O
52686,ያገኙናል,O
52687,ክቡራን,O
52688,ደምበኞቻችን,O
52689,ገርጂ,I-LOC
52690,አልፎዝ,O
52691,ፕላዛ,I-LOC
52692,ላይ,O
52693,እንዲሁም,O
52694,አራት,O
52695,ኪሎ,O
52696,ቅድስት,O
52697,ስላሴ,I-LOC
52698,ህንፃ,I-LOC
52699,ላይ,O
52700,ያሉት,O
52701,ብራንቾቻችን,O
52702,ላይ,O
52703,እቃ,O
52704,ለመግዛት,O
52705,ሲመጡ,O
52706,አስተማማኝ,O
52707,ሰፊ,O
52708,ፓርኪንግ,O
52709,ያለው,O
52710,ጊቢ,O
52711,ያላቸው,O
52712,ህንፃዎች,I-LOC
52713,መሆናቸውን,O
52714,በታላቅ,O
52715,ደስታ,O
52716,እናበስራለን,O
52717,ባለ,B-PRODUCT
52718,ኩርሲ,I-PRODUCT
52719,ማዘያ,I-PRODUCT
52720,ለወንድ,I-PRODUCT
52721,ህፃናት,I-PRODUCT
52722,ልጆች,I-PRODUCT
52723,እጅግ,I-PRODUCT
52724,ተስማሚ,I-PRODUCT
52725,ፍሬያቸውን,I-PRODUCT
52726,የማይጎዳ,I-PRODUCT
52727,2300,I-PRODUCT
52728,ብር,I-PRODUCT
52729,free,I-PRODUCT
52730,delivery,I-PRODUCT
52731,ከለር,O
52732,በራሱ,O
52733,እና,O
52734,ላይት,O
52735,ፒንክ,O
52736,0905707448,I-PHONE
